iter	Passed	Remaining
866	2351	360
867	2354	358
868	2356	355
869	2359	352
870	2362	349
871	2364	347
872	2367	344
873	2369	341
874	2372	338
875	2375	336
876	2378	333
877	2380	330
878	2383	328
879	2385	325
880	2388	322
881	2390	319
882	2393	317
883	2396	314
884	2398	311
885	2401	308
886	2404	306
887	2407	303
888	2410	300
889	2412	298
890	2415	295
891	2418	292
892	2421	290
893	2423	287
894	2426	284
895	2428	281
896	2431	279
897	2433	276
898	2436	273
899	2438	270
900	2441	268
901	2444	265
902	2446	262
903	2449	260
904	2452	257
905	2454	254
906	2457	251
907	2459	249
908	2462	246
909	2465	243
910	2467	241
911	2470	238
912	2473	235
913	2475	232
914	2478	230
915	2481	227
916	2483	224
917	2486	222
918	2489	219
919	2491	216
920	2494	213
921	2497	211
922	2499	208
923	2502	205
924	2504	203
925	2507	200
926	2510	197
927	2512	194
928	2515	192
929	2517	189
930	2520	186
931	2523	184
932	2525	181
933	2528	178
934	2531	175
935	2533	173
936	2536	170
937	2539	167
938	2541	165
939	2544	162
940	2547	159
941	2550	157
942	2552	154
943	2555	151
944	2557	148
945	2560	146
946	2563	143
947	2565	140
948	2568	138
949	2571	135
950	2573	132
951	2576	129
952	2579	127
953	2581	124
954	2584	121
955	2587	119
956	2589	116
957	2592	113
958	2594	110
959	2597	108
960	2599	105
961	2602	102
962	2604	100
963	2607	97
964	2610	94
965	2612	91
966	2615	89
967	2617	86
968	2620	83
969	2623	81
970	2626	78
971	2628	75
972	2631	73
973	2634	70
974	2636	67
975	2639	64
976	2642	62
977	2644	59
978	2647	56
979	2649	54
980	2652	51
981	2654	48
982	2657	45
983	2660	43
984	2662	40
985	2665	37
986	2667	35
987	2670	32
988	2673	29
989	2675	27
990	2678	24
991	2681	21
992	2683	18
993	2686	16
994	2689	13
995	2691	10
996	2694	8
997	2696	5
998	2699	2
999	2702	0
